,lente,rapide,benef
705,6,15,3.547
706,7,15,1.974
707,8,15,3.532
708,9,15,2.163
709,10,15,0.736
710,11,15,0.231
711,12,15,-0.279
712,13,15,-0.991
713,14,15,-2.939
714,15,15,0.0
715,16,15,13.684
716,17,15,9.273
717,18,15,5.311
718,19,15,7.877
719,20,15,5.899
720,21,15,9.612
721,22,15,9.483
722,23,15,13.254
723,24,15,-2.498
724,25,15,-0.516
725,26,15,-0.494
726,27,15,-0.918
727,28,15,-1.306
728,29,15,1.696
729,30,15,-1.128
730,31,15,0.66
731,32,15,0.03
732,33,15,-2.519
733,34,15,-2.586
734,35,15,0.217
735,36,15,-0.711
736,37,15,-1.913
737,38,15,-2.729
738,39,15,-1.854
739,40,15,-2.456
740,41,15,-3.67
741,42,15,-2.275
742,43,15,-8.07
743,44,15,-3.333
744,45,15,-2.117
745,46,15,-7.211
746,47,15,-6.552
747,48,15,-6.528
748,49,15,-2.416
749,50,15,-2.416
750,1,16,5.198
751,2,16,11.77
752,3,16,11.82
753,4,16,6.406
754,5,16,5.481
755,6,16,5.297
756,7,16,2.625
757,8,16,2.939
758,9,16,3.691
759,10,16,2.864
760,11,16,-2.038
761,12,16,0.048
762,13,16,-1.274
763,14,16,-1.265
764,15,16,-4.833
765,16,16,0.0
766,17,16,2.524
767,18,16,7.132
768,19,16,5.018
769,20,16,5.134
770,21,16,13.487
771,22,16,12.63
772,23,16,18.727
773,24,16,-0.133
774,25,16,1.746
775,26,16,0.111
776,27,16,0.063
777,28,16,-0.25
778,29,16,-0.632
779,30,16,1.939
780,31,16,0.274
781,32,16,1.018
782,33,16,0.447
783,34,16,-3.538
784,35,16,-2.04
785,36,16,-2.193
786,37,16,-1.275
787,38,16,-1.337
788,39,16,-3.102
789,40,16,-3.102
790,41,16,-3.47
791,42,16,-7.051
792,43,16,-7.051
793,44,16,-2.11
794,45,16,-2.11
795,46,16,-3.53
796,47,16,-6.755
797,48,16,-6.476
798,49,16,-6.476
