Date,Dernier,Ouv., Plus Haut,Plus Bas,Vol.,Variation %,Close,High,Low,Open
13/01/2015,"301,10","301,10","301,10","301,10",,"0,00%",301.1,301.1,301.1,301.1
14/01/2015,"296,89","296,89","296,89","296,89",,"-1,40%",296.89,296.89,296.89,296.89
15/01/2015,"296,68","296,68","296,68","296,68",,"-0,07%",296.68,296.68,296.68,296.68
16/01/2015,"296,68","296,68","296,68","296,68",,"0,00%",296.68,296.68,296.68,296.68
19/01/2015,"297,04","297,04","297,04","297,04",,"0,12%",297.04,297.04,297.04,297.04
20/01/2015,"296,27","296,27","296,27","296,27",,"-0,26%",296.27,296.27,296.27,296.27
21/01/2015,"296,96","296,96","296,96","296,96",,"0,23%",296.96,296.96,296.96,296.96
22/01/2015,"297,89","297,89","297,89","297,89",,"0,31%",297.89,297.89,297.89,297.89
23/01/2015,"297,32","297,32","297,32","297,32",,"-0,19%",297.32,297.32,297.32,297.32
26/01/2015,"296,19","296,19","296,19","296,19",,"-0,38%",296.19,296.19,296.19,296.19
27/01/2015,"297,80","297,80","297,80","297,80",,"0,54%",297.8,297.8,297.8,297.8
28/01/2015,"300,36","300,36","300,36","300,36",,"0,86%",300.36,300.36,300.36,300.36
29/01/2015,"302,84","302,84","302,84","302,84",,"0,83%",302.84,302.84,302.84,302.84
30/01/2015,"305,92","305,92","305,92","305,92",,"1,02%",305.92,305.92,305.92,305.92
02/02/2015,"305,92","305,92","305,92","305,92",,"0,00%",305.92,305.92,305.92,305.92
03/02/2015,"304,55","304,55","304,55","304,55",,"-0,45%",304.55,304.55,304.55,304.55
04/02/2015,"306,29","306,29","306,29","306,29",,"0,57%",306.29,306.29,306.29,306.29
05/02/2015,"306,11","306,11","306,11","306,11",,"-0,06%",306.11,306.11,306.11,306.11
06/02/2015,"304,87","304,87","304,87","304,87",,"-0,41%",304.87,304.87,304.87,304.87
10/02/2015,"299,24","299,24","299,24","299,24",,"-1,85%",299.24,299.24,299.24,299.24
11/02/2015,"305,05","305,05","305,05","305,05",,"1,94%",305.05,305.05,305.05,305.05
