Date,Dernier,Ouv., Plus Haut,Plus Bas,Vol.,Variation %,Close,High,Low,Open
01/04/2015,82.0,82.0,82.0,82.0,"0,13K","6,49%",82.0,82.0,82.0,82.0
02/04/2015,81.0,81.0,81.0,81.0,"0,86K","-1,22%",81.0,81.0,81.0,81.0
03/04/2015,75.0,75.0,75.0,75.0,"0,27K","-7,41%",75.0,75.0,75.0,75.0
07/04/2015,69.375,69.375,69.375,69.375,"0,01K","-7,50%",69.375,69.375,69.375,69.375
08/04/2015,64.18,64.18,64.18,64.18,"0,01K","-7,49%",64.18,64.18,64.18,64.18
09/04/2015,64.0,64.0,64.0,64.0,"0,01K","-0,28%",64.0,64.0,64.0,64.0
10/04/2015,68.8,68.8,68.8,68.8,"0,01K","7,50%",68.8,68.8,68.8,68.8
13/04/2015,68.75,68.75,68.75,68.75,"0,01K","-0,07%",68.75,68.75,68.75,68.75
15/04/2015,70.0,70.0,70.0,70.0,"0,00K","1,82%",70.0,70.0,70.0,70.0
17/04/2015,70.0,70.0,70.0,70.0,"0,04K","0,00%",70.0,70.0,70.0,70.0
21/04/2015,64.75,64.75,64.75,64.75,"0,05K","-7,50%",64.75,64.75,64.75,64.75
28/04/2015,66.0,66.0,66.0,66.0,"0,01K","1,93%",66.0,66.0,66.0,66.0
29/04/2015,69.0,69.0,69.0,69.0,"0,01K","4,55%",69.0,69.0,69.0,69.0
04/05/2015,74.175,74.175,74.175,74.175,"0,00K","7,50%",74.175,74.175,74.175,74.175
05/05/2015,68.7,68.7,68.7,68.7,"0,50K","-7,38%",68.7,68.7,68.7,68.7
06/05/2015,68.5,68.5,68.5,68.5,"0,01K","-0,29%",68.5,68.5,68.5,68.5
11/05/2015,64.0,64.0,64.0,64.0,"0,51K","-6,57%",64.0,64.0,64.0,64.0
13/05/2015,64.0,64.0,64.0,64.0,"0,01K","0,00%",64.0,64.0,64.0,64.0
19/05/2015,64.0,64.0,64.0,64.0,"0,27K","0,00%",64.0,64.0,64.0,64.0
20/05/2015,64.0,64.0,64.0,64.0,"0,00K","0,00%",64.0,64.0,64.0,64.0
21/05/2015,64.0,64.0,64.0,64.0,"0,02K","0,00%",64.0,64.0,64.0,64.0
28/05/2015,65.28,65.28,65.28,65.28,"0,00K","2,00%",65.28,65.28,65.28,65.28
29/05/2015,66.0,66.0,66.0,66.0,"0,00K","1,10%",66.0,66.0,66.0,66.0
01/06/2015,65.0,65.0,65.0,65.0,"1,04K","-1,52%",65.0,65.0,65.0,65.0
03/06/2015,67.0,67.0,67.0,67.0,"0,01K","3,08%",67.0,67.0,67.0,67.0
04/06/2015,67.0,67.0,67.0,67.0,"0,03K","0,00%",67.0,67.0,67.0,67.0
08/06/2015,67.5,67.5,67.5,67.5,"0,05K","0,75%",67.5,67.5,67.5,67.5
10/06/2015,72.0,72.0,72.0,72.0,"0,02K","6,67%",72.0,72.0,72.0,72.0
12/06/2015,67.505,67.505,67.505,67.505,"0,00K","-6,24%",67.505,67.505,67.505,67.505
23/06/2015,65.0,65.0,65.0,65.0,"0,00K","-3,71%",65.0,65.0,65.0,65.0
24/06/2015,64.005,64.005,64.005,64.005,"0,00K","-1,53%",64.005,64.005,64.005,64.005
25/06/2015,64.5,64.5,64.5,64.5,"0,01K","0,77%",64.5,64.5,64.5,64.5
26/06/2015,64.5,64.5,64.5,64.5,"0,00K","0,00%",64.5,64.5,64.5,64.5
29/06/2015,64.5,64.5,64.5,64.5,"0,49K","0,00%",64.5,64.5,64.5,64.5
30/06/2015,64.505,64.505,64.505,64.505,"0,00K","0,01%",64.505,64.505,64.505,64.505
01/07/2015,65.0,65.0,65.0,65.0,"0,00K","0,77%",65.0,65.0,65.0,65.0
16/07/2015,66.0,66.0,66.0,66.0,"0,03K","1,54%",66.0,66.0,66.0,66.0
20/07/2015,66.01,66.01,66.01,66.01,"0,04K","0,02%",66.01,66.01,66.01,66.01
27/07/2015,66.01,66.01,66.01,66.01,"0,02K","0,00%",66.01,66.01,66.01,66.01
31/07/2015,69.3,69.3,69.3,69.3,"0,03K","4,98%",69.3,69.3,69.3,69.3
03/08/2015,69.3,69.3,69.3,69.3,"0,01K","0,00%",69.3,69.3,69.3,69.3
10/08/2015,69.3,69.3,69.3,69.3,"0,00K","0,00%",69.3,69.3,69.3,69.3
13/08/2015,70.1,70.1,70.1,70.1,"0,20K","1,15%",70.1,70.1,70.1,70.1
18/08/2015,70.51,70.51,70.51,70.51,"0,01K","0,58%",70.51,70.51,70.51,70.51
19/08/2015,74.995,74.995,74.995,74.995,"0,00K","6,36%",74.995,74.995,74.995,74.995
20/08/2015,72.5,72.5,72.5,72.5,"0,01K","-3,33%",72.5,72.5,72.5,72.5
21/08/2015,70.2,70.2,70.2,70.2,"1,76K","-3,17%",70.2,70.2,70.2,70.2
24/08/2015,73.5,73.5,73.5,73.5,"2,51K","4,70%",73.5,73.5,73.5,73.5
25/08/2015,73.5,73.5,73.5,73.5,"0,00K","0,00%",73.5,73.5,73.5,73.5
26/08/2015,73.0,73.0,73.0,73.0,"1,01K","-0,68%",73.0,73.0,73.0,73.0
31/08/2015,72.5,72.5,72.5,72.5,"0,00K","-0,68%",72.5,72.5,72.5,72.5
01/09/2015,72.5,72.5,72.5,72.5,"0,01K","0,00%",72.5,72.5,72.5,72.5
02/09/2015,73.0,73.0,73.0,73.0,"0,00K","0,69%",73.0,73.0,73.0,73.0
08/09/2015,74.0,74.0,74.0,74.0,"0,00K","1,37%",74.0,74.0,74.0,74.0
09/09/2015,73.0,73.0,73.0,73.0,"0,03K","-1,35%",73.0,73.0,73.0,73.0
10/09/2015,73.0,73.0,73.0,73.0,"0,01K","0,00%",73.0,73.0,73.0,73.0
11/09/2015,73.0,73.0,73.0,73.0,"0,02K","0,00%",73.0,73.0,73.0,73.0
16/09/2015,73.0,73.0,73.0,73.0,"0,00K","0,00%",73.0,73.0,73.0,73.0
17/09/2015,70.0,70.0,70.0,70.0,"0,01K","-4,11%",70.0,70.0,70.0,70.0
